user_id,username,phone_number,coupon_cards
1,Madhav,8080230666,1
2,Utkarsh,9841174224,1
3,Yashasvi,8156705186,1
4,Aditya,6172684566,1
5,Veer,8752645154,1
6,Barkha,7728894910,1
7,Brijesh,7080679434,1
8,Diya,6575256402,2
9,Fitan,6908854525,1
10,Alka,6977713105,1
11,Yuvraj,8912116514,1
12,Hiral,9924851645,1
13,Kai,6959936435,1
14,Saumya,6299475041,1
15,Patrick,8864371554,1
16,Nisha,9506918921,1
17,Kashish,7781215028,890
18,Vidhi,7643591901,1
19,Vyanjana,9582295432,1
20,Megha,8319941116,1
21,Reva,9439745332,2
22,Bhavya,6558103668,1
23,Jai,9064305678,1
24,Gabriel,8925937873,1
25,Nathan,6773854228,2
26,Aarna,6364341830,1
27,Lila,8864349208,1
28,Umang,8696678251,1
29,Baghyawati,6049535992,1
30,Nikita,9314332894,1
31,Aditya,9803187852,1
32,Upadhriti,9532006647,1
33,Naveen,7657458399,1
34,Charles,8436145799,1
35,Manan,6162151537,1
36,Warinder,8309022713,1
37,Samuel,9297148151,1
38,Aarush,8472911306,1
39,Hamsini,9501604835,1
40,Aarnav,8696497371,1
41,Pranit,7046517977,1
42,Urishilla,9045840946,1
43,Keya,7828429349,1
44,Samesh,9036164124,1
45,Qushi,8414312463,1
46,Aarnav,9956146660,1
47,Pranit,9390313532,1
48,Chanakya,7719172478,1
49,Ayaan,6451931410,1
50,Karan,7329860812,1
51,Geetika,9518359218,1
52,Mitali,8359686536,2
53,Vivaan,7023110949,1
54,Nihal,6411527641,1
55,Charita,7059669892,1
56,Kalpit,7844424629,2
57,Devansh,7574553146,1
58,Anamika,9922017777,1
59,Quincy,8447926679,1
60,Finn,6617020195,1
61,Atharv,7509122237,2
62,Kashish,8048387145,177
63,Chaman,6110971259,1
64,Vinaya,9129118710,1
65,Ekalinga,8386963151,1
66,Aarna,6167363946,1
67,Amaira,6341754711,1
68,Umang,7285336876,127
69,Gaurangi,6715541541,1
70,Odika,9292131948,1
71,Hritik,8497569391,1
72,Vamakshi,7084429598,1
73,Garima,9074904516,1
74,Rehaan,6031111295,1
75,Omisha,6871168288,1
76,Gaurang,8767113560,1
77,Matthew,6489823169,1
78,Lila,8201963142,1
79,Advik,9143703763,1
80,Mitesh,7413967576,1
81,Janaki,6337172717,1
82,Finn,8108005340,1
83,Udarsh,8461308162,1
84,Thomas,8126829892,1
85,Jackson,9048936880,1
86,Abeer,8582717684,1
87,Sanya,8379677502,1
88,Anika,6224050423,1
89,Qabil,7307373945,1
90,Manan,8511035939,1
91,Anvi,7321635435,1
92,Jack,6682843301,1
93,Girish,8760641570,1
94,Bimala,6651127604,1
95,Max,9459978088,1
96,Yashasvi,6313986295,1
97,Anjali,8954811185,1
98,Nidra,9664397567,1
99,Yasti,7720306505,1
100,Girindra,8732539483,1
101,Mitesh,9215721077,1
102,Kashish,8496941491,1
103,Upma,8450963309,1
104,Rudra,7050068428,1
105,Hemani,8786150185,1
106,Naveen,7752838472,1
107,Inaya,6828756517,1
108,Atharv,8835409848,1
109,Nisha,8551120683,2
110,Advaith,6194800741,1
111,Nandini,9220120479,1
112,Qasim,6873976641,1
113,Gagan,8413449931,1
114,Ayushman,9440960733,1
115,Nikita,6577156162,1
116,Girindra,8251097514,1
117,Zansi,6956376217,1
118,Vedhika,8762991614,1
119,Kalpit,7226982802,1
120,Vedant,6833472898,1
121,Harish,7838431540,1
122,Nidra,7709293748,1
123,Sachi,9725992514,1
124,Yochana,8044866130,1
125,Naveen,9759312990,1
126,Neha,6972474628,1
127,Daksh,6396132314,1
128,Damyanti,8583808036,1
129,Tripti,9964697937,1
130,Luke,6095957572,1
131,Samar,6037089395,2
132,Jhalak,6683584253,1
133,Praneel,6637198845,1
134,Amol,6037374711,1
135,Daniel,9376110222,1
136,Neelima,7484820286,1
137,Patrick,8476986201,1
138,Anika,6272732967,1
139,Kai,8835488520,1
